class,base_chain,vftable,ctor,n_methods,family,wave,status,owner,confidence,notes
C3DJudy,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a3e98;004a3ea8;004a42f8;004a4334;004a4348,,1,player_friends_npcs,2,spec,codex,Medium,placeable:3MOM; Judy friend leaf assets/reset/visibility/talk progress hooks
C3DKitty,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a44dc;004a44ec;004a493c;004a4978;004a498c,,4,player_friends_npcs,2,spec,codex,Medium,placeable:3KIT; Kitty AI task threshold and effect handle lifecycle
C3DLabScreen,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a4b14;004a4b24;004a4f74;004a4fb0;004a4fc4,,1,level_game_controllers,10,todo,,,placeable:3SCR init:FUN_0042bc00
C3DLaserTrigger,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a50f4;004a5104;004a5554;004a5590;004a55a4,,2,enemies_ai,3,todo,,,placeable:3LAS init:FUN_0042c050
C3DLeaves,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a56d0;004a56e0;004a5b30;004a5b44,,0,world_props_terrain,7,todo,,,placeable:3LEA init:FUN_0042c6f0
C3DLibby,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a5c28;004a5c38;004a6088;004a60c4;004a60d8,,1,player_friends_npcs,2,spec,codex,Medium,placeable:3LIB; Libby friend leaf assets; task visibility and talk reward hooks
C3DLight,OMediaLight -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004d2c10;004d2c20;004d3070;004d3084,,2,world_props_terrain,7,todo,,,placeable:3LIG init:FUN_00461bb0
C3DLightCone,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a626c;004a627c;004a66cc;004a6708;004a671c,,2,world_props_terrain,7,todo,,,
C3DLightObj,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a685c;004a686c;004a6cbc;004a6cd0,,1,world_props_terrain,7,todo,,,placeable:3LIO init:FUN_0042dba0
C3DMerryGo,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a6db0;004a6dc0;004a7210;004a724c;004a7260,,2,mechanisms_moving_parts,6,todo,,,placeable:3MER init:FUN_0042e220
C3DMetalPickup,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a7390;004a73a0;004a77f0;004a7804,,0,pickups_items,5,todo,,,
C3DMine,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a78e8;004a78f8;004a7d48;004a7d5c,,1,enemies_ai,3,todo,,,
C3DMissile,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a7e44;004a7e54;004a82a4;004a82e0;004a82f4,,3,enemies_ai,3,todo,,,
C3DMover,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a8424;004a8434;004a8884;004a88c0;004a88d4,,2,mechanisms_moving_parts,6,todo,,,
C3DMovingTarget,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a8a00;004a8a10;004a8e60;004a8e74,,2,mechanisms_moving_parts,6,todo,,,
C3DMultiCutSceneCamera,C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a8f54;004a8f64;004a93b4;004a93c8,,3,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3MCA init:FUN_004308d0
C3DMusicTrigger,C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004a94c8;004a94d8;004a9928;004a993c,,2,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3MUS init:FUN_00431a20
C3DMutantFish,C3DEnemy -> C3DPickupType -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004a9a24;004a9a34;004a9e84;004a9ec0;004a9ed4,,1,creatures_one_off_set_dressing,9,todo,,,
C3DNeuCar,C3DAICar -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004aa05c;004aa06c;004aa4bc;004aa4f8;004aa50c,,1,vehicles,4,todo,,,
C3DNeuCar2,C3DAICar -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004aa694;004aa6a4;004aaaf4;004aab30;004aab44,,1,vehicles,4,todo,,,
C3DNeutron,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004aaccc;004aacdc;004ab12c;004ab140,,1,player_friends_npcs,2,spec,codex,Medium,placeable:3NEU; animated neutron billboard pickup; icons.omt index 4 plus sprites.omt frames 0..12
C3DNewSmokePuff,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004ab22c;004ab23c;004ab68c;004ab6a0,,2,effects_triggers_nav_cameras_sound,8,todo,,,
C3DNick,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004ab784;004ab794;004abbe4;004abc20;004abc34,,5,player_friends_npcs,2,spec,codex,Medium,placeable:3NIC; Nick race/skateboard hooks and scene visibility windows
C3DObject,OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d3144;004d3154;004d35a4;004d35e0;004d35f4,,12,base_framework,1,spec,codex,Medium,3D shape/morph bridge syncing CGameObject transform fields to OMedia
C3DOctapuke,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004abdc8;004abdd8;004ac228;004ac264;004ac278,,3,creatures_one_off_set_dressing,9,todo,,,placeable:3OCT init:FUN_00433e70
C3DOmtObj,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004ac3a4;004ac3b4;004ac804;004ac840;004ac854,,1,base_framework,1,spec,codex,Medium,placeable:3OMT OMT shape object; registers OmtDatabase/OmtIndex/Radius and loads 3DSh shape
C3DPasscard,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004ac980;004ac990;004acde0;004acdf4,,1,pickups_items,5,todo,,,
C3DPatrolPoint,C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004aced4;004acee4;004ad334;004ad348,,3,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3PAT init:FUN_00434b30
C3DPendulum,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004ad42c;004ad43c;004ad88c;004ad8c8;004ad8dc,,1,mechanisms_moving_parts,6,todo,,,placeable:3PEN init:FUN_00434f60
C3DPermanentSprite,C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004ada08;004ada18;004ade68;004ade7c,,2,base_framework,1,spec,codex,Medium,permanent sprite base; reuses C3DSprite fields with permanenticons.omt fallback
C3DPhoneBooth,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004adf5c;004adf6c;004ae3bc;004ae3f8;004ae40c,,4,world_props_terrain,7,todo,,,placeable:3PHO init:FUN_004355a0
C3DPickupItem,CPickupType -> C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004ae538;004ae548;004ae998;004ae9ac,,5,base_framework,1,spec,codex,Medium,placeable:3PIC pickup item; registers sound score requirements pass-through fields and handles pickup collection state
C3DPickupType,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004aea94;004aeaa4;004aeef4;004aef30;004aef44,,4,base_framework,1,spec,codex,Medium,AI pickup state gate base; opt-in PickupIndex/PIC_NUMBER registration and global pickup-state visibility gate
C3DPirate,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004af0cc;004af0dc;004af52c;004af568;004af57c,,3,player_friends_npcs,2,spec,codex,Medium,placeable:3PIR; Viking asset ship-exit escort to StartPoint
C3DPlayer,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004af6b4;004af6c4;004afb14;004afb50;004afb64,,9,player_friends_npcs,2,spec,codex,Medium,player controller; 3PLA; walking/flying/camera/fence/ladder/load-level helpers
C3DPod,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004afd48;004afd58;004b01a8;004b01e4;004b01f8,,1,enemies_ai,3,todo,,,
C3DPointCursor,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b0380;004b0390;004b07e0;004b081c;004b0830,,1,effects_triggers_nav_cameras_sound,8,todo,,,
C3DPolygon,OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004d36dc;004d36ec;004d3b3c;004d3b50,,5,world_props_terrain,7,todo,,,
C3DProjectile,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b095c;004b096c;004b0dbc;004b0dd0,,0,base_framework,1,spec,codex,Medium,3PRO effects sprite projectile raw update and collision slots need Ghidra functions
C3DRedNeutron,CPickupType -> C3DTriggerType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b0eb0;004b0ec0;004b1310;004b1324,,2,player_friends_npcs,2,spec,codex,Medium,placeable:3RED; red neutron pickup/trigger; Radius; NextTrigger; pickup table increment
C3DRock,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b1430;004b1440;004b1890;004b18cc;004b18e0,,1,world_props_terrain,7,todo,,,
C3DRocket,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b1a10;004b1a20;004b1e70;004b1eac;004b1ec0,,1,vehicles,4,todo,,,
C3DRocketFuel,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b2048;004b2058;004b24a8;004b24bc,,2,pickups_items,5,todo,,,placeable:3FUE init:FUN_0043d530
C3DRocketShip,C3DFlyingObject -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b259c;004b25ac;004b29fc;004b2a38;004b2a4c,,5,vehicles,4,todo,,,
C3DSailBoat,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b2b8c;004b2b9c;004b2fec;004b3028;004b303c,,1,vehicles,4,todo,,,
C3DSchoolDoor,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b31cc;004b31dc;004b362c;004b3668;004b367c,,4,mechanisms_moving_parts,6,todo,,,
C3DShadow,C3DPermanentSprite -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b37a8;004b37b8;004b3c08;004b3c1c,,0,world_props_terrain,7,todo,,,placeable:3TAR init:FUN_004453b0
C3DSheen,C3DFriends -> C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b3cfc;004b3d0c;004b415c;004b4198;004b41ac,,1,player_friends_npcs,2,spec,codex,Medium,placeable:3SHE; Sheen friend leaf assets; level/task visibility and talk progress hooks
C3DShrinkRay,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b4340;004b4350;004b47a0;004b47dc;004b47f0,,1,enemies_ai,3,todo,,,
C3DSkateBoard,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b491c;004b492c;004b4d7c;004b4db8;004b4dcc,,1,vehicles,4,todo,,,
C3DSky,C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d3c2c;004d3c3c;004d408c;004d40c8;004d40dc,,4,world_props_terrain,7,todo,,,
C3DSmoke,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b4ef8;004b4f08;004b5358;004b536c,,1,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3SM1 init:FUN_00440530
C3DSmokePuff,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b544c;004b545c;004b58ac;004b58c0,,1,effects_triggers_nav_cameras_sound,8,todo,,,
C3DSoundEffect,C3DSpriteType -> C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b59a0;004b59b0;004b5e00;004b5e14,,1,effects_triggers_nav_cameras_sound,8,todo,,,placeable:3SOU init:FUN_00440e20
C3DSparkWire,C3DTesla -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b5ef4;004b5f04;004b6354;004b6390;004b63a4,,2,effects_triggers_nav_cameras_sound,8,todo,,,
C3DSparrow,C3DAI -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b64d8;004b64e8;004b6938;004b6974;004b6988,,1,creatures_one_off_set_dressing,9,todo,,,
C3DSphere,C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004d41cc;004d41dc;004d462c;004d4668;004d467c,,2,world_props_terrain,7,todo,,,placeable:3SPH init:FUN_00463b30
C3DSprite,OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004d4768;004d4778;004d4bc8;004d4bdc,,8,base_framework,1,spec,codex,Medium,placeable:3NEU/3SPR canvas sprite base; loads SpriteDatabase/SpriteIndex/SpriteSize
C3DSpriteType,C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b6b10;004b6b20;004b6f70;004b6f84,,2,base_framework,1,spec,codex,Medium,thin sprite type base; reuses C3DSprite canvas load and sets adjusted mode word to 3
C3DStalagtite,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b7064;004b7074;004b74c4;004b7500;004b7514,,2,world_props_terrain,7,todo,,,
C3DStartPoint,C3DSprite -> OMediaCanvasElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> CLocalGameObject -> CGameObject,004b7644;004b7654;004b7aa4;004b7ab8,,3,effects_triggers_nav_cameras_sound,8,todo,,,placeable:STRT init:FUN_004422d0
C3DSteamVent,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b7b98;004b7ba8;004b7ff8;004b8034;004b8048,,2,mechanisms_moving_parts,6,todo,,,
C3DSub,C3DFlyingObject -> C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b817c;004b818c;004b85dc;004b8618;004b862c,,1,vehicles,4,todo,,,
C3DSumo,C3DAnimated -> C3DObject -> OMedia3DMorphAnim -> OMedia3DShapeElement -> OMediaElement -> OMediaWorldPosition -> OMediaWorldAngle -> OMediaElementContainer -> OMediaDBObject -> OMediaClassStreamer -> OMediaListener -> OMediaMessagePort -> OMediaAnim -> CLocalGameObject -> CGameObject,004b876c;004b877c;004b8bcc;004b8c08;004b8c1c,,3,player_friends_npcs,2,spec,codex,Medium,placeable:3SUM; Sumo asset Jimmy escort to StartPoint
